Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
N27,DMSO,0.65,12.15,46.7,0,99.06,-0.33876,0.05806,-0.815,-0.841,34.0723,-0.6571,-0.17547,23.0,5.12,1.69,3.93,-206.45,-4.09,-78.84,-134.71,-0.14035,0.39682,-0.416285
N27,AN,0.75,10.13,37.5,0,99.06,-0.33876,0.05806,-0.815,-0.841,34.0723,-0.6571,-0.17547,23.0,5.12,1.69,3.93,-206.45,-5.14,-79.28,-134.02,-0.14035,0.39682,-0.416285
N28,AN,0.72,12.35,37.5,0,73.14,-0.30515,0.05242,-0.831,-1.042,58.1957,-0.58396,-0.14843,31.5,4.69,1.68,4.55,-229.77,-4.98,-68.67,-134.02,-0.126365,0.35757,-0.366195
N28,H2O,0.65,10.48,80.1,0,73.14,-0.30515,0.05242,-0.831,-1.042,58.1957,-0.58396,-0.14843,31.5,4.69,1.68,4.55,-229.77,-2.83,-65.93,-135.03,-0.126365,0.35757,-0.366195
N29,DMSO,0.65,15.28,46.7,0,107.16,-0.29293,0.02526,-0.828,-0.881,85.342,-0.45221,-0.15386,22.1,7.94,1.69,3.52,-227.3,-6.22,-70.44,-134.71,-0.133835,0.31819,-0.303035
N29,AN,0.67,14.29,37.5,0,107.16,-0.29293,0.02526,-0.828,-0.881,85.342,-0.45221,-0.15386,22.1,7.94,1.69,3.52,-227.3,-8.2,-71.92,-134.02,-0.133835,0.31819,-0.303035
N29,H2O,0.55,13.44,80.1,0,107.16,-0.29293,0.02526,-0.828,-0.881,85.342,-0.45221,-0.15386,22.1,7.94,1.69,3.52,-227.3,-4.6,-67.99,-135.03,-0.133835,0.31819,-0.303035
N30,H2O,0.53,14.68,80.1,0,73.14,-0.27635,0.06819,-0.62,-0.752,59.0943,-0.59572,-0.13687,38.2,3.77,2.29,4.58,-234.01,-2.73,-62.39,-135.03,-0.10408,0.34454,-0.366295
N31,AN,0.61,18.52,37.5,0,71.12,-0.28785,0.06413,-0.622,-0.651,52.8503,-0.57939,-0.14341,30.4,4.76,1.99,4.0,-233.78,-4.96,-66.92,-134.02,-0.11186,0.35198,-0.3614
N31,H2O,0.49,17.21,80.1,0,71.12,-0.28785,0.06413,-0.622,-0.651,52.8503,-0.57939,-0.14341,30.4,4.76,1.99,4.0,-233.78,-4.17,-64.13,-135.03,-0.11186,0.35198,-0.3614
N32,DCM,0.52,20.6,8.93,0,85.15,-0.2778,0.06663,-0.428,-0.192,65.831,-0.56245,-0.13129,42.0,3.75,2.83,4.33,-236.85,-5.3,-58.56,-122.52,-0.105585,0.34443,-0.34687
N32,AN,0.52,20.59,37.5,0,85.15,-0.2778,0.06663,-0.428,-0.192,65.831,-0.56245,-0.13129,42.0,3.75,2.83,4.33,-236.85,-4.56,-63.0,-134.02,-0.105585,0.34443,-0.34687
N33,DMSO,0.71,17.19,46.7,0,85.15,-0.27739,0.06533,-0.614,-0.737,64.7973,-0.556,-0.13605,30.4,5.87,2.07,3.61,-234.7,-3.97,-65.25,-134.71,-0.10603,0.34272,-0.346025
N33,AN,0.68,17.35,37.5,0,85.15,-0.27739,0.06533,-0.614,-0.737,64.7973,-0.556,-0.13605,30.4,5.87,2.07,3.61,-234.7,-5.34,-66.06,-134.02,-0.10603,0.34272,-0.346025
N33,H2O,0.44,18.13,80.1,0,85.15,-0.27739,0.06533,-0.614,-0.737,64.7973,-0.556,-0.13605,30.4,5.87,2.07,3.61,-234.7,-3.68,-62.65,-135.03,-0.10603,0.34272,-0.34602
N34,DCM,0.52,18.9,8.93,0,99.18,-0.27685,0.0684,-0.436,-0.269,77.601,-0.54895,-0.12018,45.2,3.74,2.91,5.07,-238.57,-5.83,-57.88,-122.52,-0.104225,0.34525,-0.334565
N34,AN,0.52,18.72,37.5,0,99.18,-0.27685,0.0684,-0.436,-0.269,77.601,-0.54895,-0.12018,45.2,3.74,2.91,5.07,-238.57,-5.01,-62.16,-134.02,-0.104225,0.34525,-0.334565
N35,DMSO,0.67,16.96,46.7,0,87.12,-0.27896,0.0658,-0.609,-0.671,56.9827,-0.51408,-0.14485,30.4,4.65,2.04,3.56,-227.72,-5.32,-70.31,-134.71,-0.10658,0.34476,-0.329465
N35,AN,0.74,15.65,37.5,0,87.12,-0.27896,0.0658,-0.609,-0.671,56.9827,-0.51408,-0.14485,30.4,4.65,2.04,3.56,-227.72,-6.34,-70.74,-134.02,-0.10658,0.34476,-0.329465
N35,H2O,0.54,15.62,80.1,0,87.12,-0.27896,0.0658,-0.609,-0.671,56.9827,-0.51408,-0.14485,30.4,4.65,2.04,3.56,-227.72,-7.05,-69.2,-135.03,-0.10658,0.34476,-0.329465
N36,DCM,0.52,16.5,8.93,0,101.15,-0.28568,0.07174,-0.433,-0.243,69.72,-0.50725,-0.12802,44.4,3.74,2.89,4.56,-232.03,-6.33,-61.25,-122.52,-0.10697,0.35742,-0.317635
N36,AN,0.52,16.8,37.5,0,101.15,-0.28568,0.07174,-0.433,-0.243,69.72,-0.50725,-0.12802,44.4,3.74,2.89,4.56,-232.03,-5.99,-66.53,-134.02,-0.10697,0.35742,-0.317635
N37,AN,0.45,23.05,37.5,0,59.11,-0.27796,0.067,-0.429,-0.145,47.107,-0.65264,-0.13997,36.4,3.73,2.91,3.28,-233.03,-3.32,-65.32,-134.02,-0.10548,0.34496,-0.396305
N38,AN,0.6,20.54,37.5,0,111.19,-0.26529,0.05462,-0.418,-0.587,81.6197,-0.536,-0.12515,38.1,5.81,2.92,3.33,-241.75,-6.06,-61.43,-134.02,-0.105335,0.31991,-0.330575
N39,AN,0.7,18.8,37.5,0,112.18,-0.24387,0.0586,-0.411,-0.421,78.3787,-0.45159,-0.1292,38.0,5.07,2.89,3.27,-237.91,-8.0,-64.94,-134.02,-0.092635,0.30247,-0.290395
NA01,H2O,0.52,12.47,80.1,1,94.09,-0.06606,0.19092,-0.562,-0.93,72.5333,-0.27885,-0.01494,29.3,5.8,1.77,3.78,-355.44,-65.72,-10.26,-135.03,0.06243,0.25698,-0.146895
NA01,AN,0.57,20.11,37.5,1,94.09,-0.06606,0.19092,-0.562,-0.93,72.5333,-0.27885,-0.01494,29.3,5.8,1.77,3.78,-355.44,-59.47,-11.31,-134.02,0.06243,0.25698,-0.146895
NA01,DMSO,0.6,19.91,46.7,1,94.09,-0.06606,0.19092,-0.562,-0.93,71.468,-0.27885,-0.01494,29.3,5.8,1.77,3.78,-355.44,-58.06,-10.34,-134.71,0.06243,0.25698,-0.146895
NA02,H2O,0.48,14.76,80.1,1,94.09,-0.07743,0.1994,-0.564,-0.876,71.468,-0.28134,0.01423,26.5,6.57,1.77,3.17,-343.62,-61.46,-14.86,-135.03,0.060985,0.27683,-0.133555
NA02,AN,0.49,20.22,37.5,1,94.09,-0.07743,0.1994,-0.564,-0.876,71.468,-0.28134,0.01423,26.5,6.57,1.77,3.17,-343.62,-55.82,-15.24,-134.02,0.060985,0.27683,-0.133555
NA02,DMSO,0.62,18.97,46.7,1,94.09,-0.07743,0.1994,-0.564,-0.876,71.468,-0.28134,0.01423,26.5,6.57,1.77,3.17,-343.62,-54.54,-14.25,-134.71,0.060985,0.27683,-0.133555
NA03,H2O,0.62,10.93,80.1,1,134.12,-0.10384,0.17484,-0.558,-0.87,94.3913,-0.27725,0.00882,27.1,7.31,1.77,5.25,-344.44,-64.81,-16.83,-135.03,0.0355,0.27868,-0.134215
NA03,DMSO,0.55,18.0,46.7,1,134.12,-0.10384,0.17484,-0.558,-0.87,94.3913,-0.27725,0.00882,27.1,7.31,1.77,5.25,-344.44,-62.57,-17.91,-134.71,0.0355,0.27868,-0.134215
NA04,H2O,0.65,10.77,80.1,1,150.12,-0.09366,0.15498,-0.503,-0.719,99.3663,-0.27361,0.00329,29.5,7.07,1.77,5.66,-344.44,-72.23,-24.75,-135.03,0.03066,0.24864,-0.13516
NA05,DMSO,0.55,19.13,46.7,1,117.13,-0.09246,0.1799,-0.571,-0.857,97.023,-0.28268,0.00815,28.0,6.24,1.77,5.37,-348.48,-58.39,-12.71,-134.71,0.04372,0.27236,-0.137265
NA06,H2O,0.67,11.52,80.1,1,118.12,-0.10479,0.16002,-0.361,-0.655,91.0687,-0.30093,-0.01662,26.2,6.27,1.58,5.23,-343.74,-59.8,-10.11,-135.03,0.027615,0.26481,-0.158775
NA06,DMSO,0.65,16.29,46.7,1,118.12,-0.10479,0.16002,-0.361,-0.655,91.0687,-0.30093,-0.01662,26.2,6.27,1.58,5.23,-343.74,-56.5,-8.89,-134.71,0.027615,0.26481,-0.158775
NA07,DMSO,0.55,17.52,46.7,1,99.07,-0.11769,0.20225,-0.689,-0.834,58.0707,-0.34613,0.02204,29.3,4.97,1.89,3.82,-350.78,-60.52,-14.36,-134.71,0.04228,0.31994,-0.162045
NA08,DMSO,0.76,14.87,46.7,1,96.07,-0.12105,0.13481,-0.696,-0.903,61.044,-0.35715,-0.06761,29.4,5.04,1.77,3.8,-349.94,-56.89,-10.31,-134.71,0.00688,0.25586,-0.21238
NA09,DMSO,0.66,16.03,46.7,1,98.08,-0.12494,0.20305,-0.669,-0.873,62.8777,-0.34411,0.01511,29.7,4.87,2.05,3.8,-350.61,-57.61,-12.11,-134.71,0.039055,0.32799,-0.1645
NA10,DMSO,0.67,15.52,46.7,1,146.13,-0.13384,0.11764,-0.662,-0.829,104.5863,-0.339,-0.05589,29.4,7.5,1.77,3.81,-347.62,-56.34,-11.32,-134.71,-0.0081,0.25148,-0.197445
NA11,AN,0.89,10.78,37.5,1,182.17,-0.15124,0.11271,-0.912,-0.666,111.154,-0.3514,-0.05181,32.3,7.76,2.2,3.97,-328.63,-55.71,-14.53,-134.02,-0.019265,0.26395,-0.201605
NA12,DMSO,0.51,21.09,46.7,1,67.07,-0.06092,0.27119,-0.576,-0.706,50.3627,-0.28862,0.05369,25.2,5.01,1.56,3.11,-357.89,-63.49,-11.25,-134.71,0.105135,0.33211,-0.117465
NA13,H2O,0.54,11.0,80.1,1,119.11,-0.11935,0.15733,-0.556,-0.797,84.992,-0.31424,-0.02061,27.0,6.18,1.77,5.25,-339.67,-61.03,-14.92,-135.03,0.01899,0.27668,-0.167425
NA13,DMSO,0.77,15.03,46.7,1,119.11,-0.11935,0.15733,-0.556,-0.797,84.992,-0.31424,-0.02061,27.0,6.18,1.77,5.25,-339.67,-58.36,-15.34,-134.71,0.01899,0.27668,-0.167425
NA14,H2O,0.51,11.17,80.1,1,126.12,-0.09494,0.17646,-0.625,-0.886,84.0417,-0.30417,-0.01063,28.9,6.51,1.87,4.52,-342.93,-61.38,-13.28,-135.03,0.04076,0.2714,-0.1574
NA14,DMSO,0.62,17.63,46.7,1,126.12,-0.09494,0.17646,-0.625,-0.886,84.0417,-0.30417,-0.01063,28.9,6.51,1.87,4.52,-342.93,-54.22,-14.51,-134.71,0.04076,0.2714,-0.1574
NA15,H2O,0.53,10.75,80.1,1,112.09,-0.10068,0.17762,-0.627,-0.912,70.6173,-0.31787,-0.01588,28.9,6.51,1.77,3.79,-341.28,-61.55,-13.9,-135.03,0.03847,0.2783,-0.166875
NA15,DMSO,0.63,17.04,46.7,1,112.09,-0.10068,0.17762,-0.627,-0.912,70.6173,-0.31787,-0.01588,28.9,6.51,1.77,3.79,-341.28,-54.64,-15.17,-134.71,0.03847,0.2783,-0.166875
NA16,H2O,0.71,10.06,80.1,1,181.18,-0.10398,0.17403,-0.483,-0.713,117.3297,-0.28256,-0.00564,29.8,1.9,1.9,6.46,-337.01,-58.34,-13.92,-135.03,0.035025,0.27801,-0.1441
NA16,DMSO,0.71,14.78,46.7,1,181.18,-0.10398,0.17403,-0.483,-0.713,117.3297,-0.28256,-0.00564,29.8,1.9,1.9,6.46,-337.01,-55.97,-16.82,-134.71,0.035025,0.27801,-0.1441
NA17,DMSO,0.71,15.7,46.7,1,112.03,-0.10141,0.25812,-0.886,-1.049,39.94,-0.37373,0.0223,28.7,4.44,1.55,4.97,-351.84,-53.89,-7.17,-134.71,0.078355,0.35953,-0.175715
NHC1,THF,0.4,23.35,7.58,0,306.45,-0.26724,0.02303,0.222,-0.782,261.801,-0.40432,-0.13479,48.7,4.94,4.39,8.28,-274.2,-18.12,-50.48,-119.28,-0.122105,0.29027,-0.269555
NHC2,THF,0.45,21.72,7.58,0,304.45,-0.27458,0.01963,0.109,-0.793,258.0777,-0.41164,-0.1288,47.2,4.97,4.46,8.3,-274.65,-18.69,-49.31,-119.28,-0.127475,0.29421,-0.27022
NHC3,THF,0.47,16.54,7.58,0,138.21,-0.26623,0.06434,0.073,-0.96,106.8777,-0.48087,-0.13393,39.7,4.99,2.71,5.57,-270.69,-12.49,-50.93,-119.28,-0.100945,0.33057,-0.3074
NHC4,THF,0.46,20.41,7.58,0,188.23,-0.26159,0.01711,0.087,-0.855,147.699,-0.40182,-0.14136,36.1,4.98,2.37,9.37,-269.34,-15.72,-51.97,-119.28,-0.12224,0.2787,-0.27159
NHC5,THF,0.46,23.0,7.58,0,218.26,-0.26172,0.02322,0.103,-0.814,160.562,-0.40091,-0.13024,39.8,4.98,3.14,7.06,-278.17,-18.18,-47.55,-119.28,-0.11925,0.28494,-0.265575
OA01,DMF,0.89,18.86,36.7,1,93.11,-0.0499,0.20207,-0.769,-0.804,78.4493,-0.28243,0.01986,23.8,5.39,1.52,5.86,-357.15,-56.66,-7.49,-134.08,0.076085,0.25197,-0.131285
OA01,DMSO,0.71,19.86,46.7,1,93.11,-0.0499,0.20207,-0.769,-0.804,78.4493,-0.28243,0.01986,23.8,5.39,1.52,5.86,-357.15,-56.19,-6.68,-134.71,0.076085,0.25197,-0.131285
OA01,AN,0.85,18.53,37.5,1,93.11,-0.0499,0.20207,-0.769,-0.804,78.4493,-0.28243,0.01986,23.8,5.39,1.52,5.86,-357.15,-57.79,-8.23,-134.02,0.076085,0.25197,-0.131285
OA02,DMF,0.82,19.9,36.7,1,123.14,-0.04325,0.18742,-0.781,-0.795,96.588,-0.25931,0.01817,23.8,5.39,1.52,8.25,-359.34,-56.48,-8.44,-134.08,0.072085,0.23067,-0.12057
OA02,DMSO,0.8,20.09,46.7,1,123.14,-0.04325,0.18742,-0.781,-0.795,96.588,-0.25931,0.01817,23.8,5.39,1.52,8.25,-359.34,-55.94,-7.56,-134.71,0.072085,0.23067,-0.12057
OA02,AN,0.69,20.62,37.5,1,123.14,-0.04325,0.18742,-0.781,-0.795,96.588,-0.25931,0.01817,23.8,5.39,1.52,8.25,-359.34,-57.66,-9.05,-134.02,0.072085,0.23067,-0.12057
OA03,DMF,0.8,19.9,36.7,1,149.22,-0.0537,0.16783,-0.765,-0.79,130.411,-0.27262,0.02074,23.8,6.11,1.52,8.37,-356.67,-55.41,-8.36,-134.08,0.057065,0.22153,-0.12594
OA03,DMSO,0.79,19.67,46.7,1,149.22,-0.0537,0.16783,-0.765,-0.79,130.411,-0.27262,0.02074,23.8,6.11,1.52,8.37,-356.67,-54.56,-7.17,-134.71,0.057065,0.22153,-0.12594
OA03,AN,0.58,21.7,37.5,1,149.22,-0.0537,0.16783,-0.765,-0.79,130.411,-0.27262,0.02074,23.8,6.11,1.52,8.37,-356.67,-56.79,-9.29,-134.02,0.057065,0.22153,-0.12594
OA04,DMF,0.85,19.65,36.7,1,107.14,-0.04745,0.19566,-0.771,-0.79,93.0813,-0.27239,0.02023,23.8,5.38,1.52,7.19,-358.27,-56.29,-7.63,-134.08,0.074105,0.24311,-0.12608
OA04,DMSO,0.87,19.08,46.7,1,107.14,-0.04745,0.19566,-0.771,-0.79,93.0813,-0.27239,0.02023,23.8,5.38,1.52,7.19,-358.27,-55.71,-6.7,-134.71,0.074105,0.24311,-0.12608
OA05,DMF,0.72,19.67,36.7,1,127.56,-0.06199,0.18297,-0.758,-0.783,90.9537,-0.28208,0.00549,23.8,5.4,1.52,7.21,-350.15,-52.5,-8.19,-134.08,0.06049,0.24496,-0.138295
OA05,DMSO,0.64,20.34,46.7,1,127.56,-0.06199,0.18297,-0.758,-0.783,90.9537,-0.28208,0.00549,23.8,5.4,1.52,7.21,-350.15,-51.94,-7.32,-134.71,0.06049,0.24496,-0.138295
OA05,AN,0.82,18.32,37.5,1,127.56,-0.06199,0.18297,-0.758,-0.783,90.9537,-0.28208,0.00549,23.8,5.4,1.52,7.21,-350.15,-53.5,-8.9,-134.02,0.06049,0.24496,-0.138295
OA06,DMF,0.71,17.85,36.7,1,118.12,-0.08616,0.16631,-0.717,-0.747,99.285,-0.30409,-0.01468,23.8,5.42,1.52,7.8,-337.88,-49.16,-10.59,-134.08,0.040075,0.25247,-0.159385
OA06,DMSO,0.57,18.78,46.7,1,118.12,-0.08616,0.16631,-0.717,-0.747,99.285,-0.30409,-0.01468,23.8,5.42,1.52,7.8,-337.88,-48.5,-9.66,-134.71,0.040075,0.25247,-0.159385
OA06,AN,0.59,19.58,37.5,1,118.12,-0.08616,0.16631,-0.717,-0.747,99.285,-0.30409,-0.01468,23.8,5.42,1.52,7.8,-337.88,-50.1,-11.5,-134.02,0.040075,0.25247,-0.159385
OA07,DMF,0.53,22.05,36.7,1,161.11,-0.07989,0.17873,-0.734,-0.761,92.1377,-0.30465,0.00047,23.8,5.41,1.52,7.64,-343.75,-48.54,-7.42,-134.08,0.04942,0.25862,-0.15209
OA07,DMSO,0.63,18.98,46.7,1,161.11,-0.07989,0.17873,-0.734,-0.761,92.1377,-0.30465,0.00047,23.8,5.41,1.52,7.64,-343.75,-47.88,-6.49,-134.71,0.04942,0.25862,-0.15209
OA07,AN,0.53,21.69,37.5,1,161.11,-0.07989,0.17873,-0.734,-0.761,92.1377,-0.30465,0.00047,23.8,5.41,1.52,7.64,-343.75,-49.53,-8.27,-134.02,0.04942,0.25862,-0.15209
OA08,ACN,0.69,18.39,37.5,1,161.1,-0.07249,0.1692,-0.748,-0.775,91.0353,-0.30136,-0.00527,26.5,6.97,1.52,6.01,-346.25,-50.47,-8.13,-134.02,0.048355,0.24169,-0.153315
OA08,DMSO,0.61,18.47,46.68,1,161.1,-0.07249,0.1692,-0.748,-0.775,91.0353,-0.30136,-0.00527,26.5,6.97,1.52,6.01,-346.25,-48.76,-6.34,-134.71,0.048355,0.24169,-0.153315
OA08,DMF,0.58,20.37,36.71,1,161.1,-0.07249,0.1692,-0.748,-0.775,91.0353,-0.30136,-0.00527,26.5,6.97,1.52,6.01,-346.25,-49.41,-7.28,-134.08,0.048355,0.24169,-0.153315
OA09,ACN,0.69,18.39,37.5,1,161.1,-0.07692,0.1716,-0.729,0.713,90.146,-0.30189,-0.0039,32.0,6.48,1.98,5.85,-343.63,-52.02,-8.73,-134.02,0.04734,0.24852,-0.152895
OA09,DMSO,0.61,18.47,46.68,1,161.1,-0.07692,0.1716,-0.729,0.713,90.146,-0.30189,-0.0039,32.0,6.48,1.98,5.85,-343.63,-50.29,-6.78,-134.71,0.04734,0.24852,-0.152895
OA09,DMF,0.58,20.37,36.71,1,161.1,-0.07692,0.1716,-0.729,0.713,90.146,-0.30189,-0.0039,32.0,6.48,1.98,5.85,-343.63,-50.94,-7.73,-134.08,0.04734,0.24852,-0.152895
OA10,ACN,0.43,25.51,37.5,1,138.1,-0.08255,0.09401,-0.741,-0.767,95.9867,-0.31177,-0.05521,26.4,6.98,1.52,5.84,-341.18,-49.42,-10.29,-134.02,0.00573,0.17656,-0.18349
OA10,DMSO,0.54,21.29,46.68,1,138.1,-0.08255,0.09401,-0.741,-0.767,95.9867,-0.31177,-0.05521,26.4,6.98,1.52,5.84,-341.18,-48.02,-8.82,-134.71,0.00573,0.17656,-0.18349
OA10,DMF,0.54,22.41,36.71,1,138.1,-0.08255,0.09401,-0.741,-0.767,95.9867,-0.31177,-0.05521,26.4,6.98,1.52,5.84,-341.18,-48.68,-9.74,-134.08,0.00573,0.17656,-0.18349
OA11,ACN,0.8,18.81,37.5,1,123.13,-0.05355,0.19631,-0.762,-0.788,95.459,-0.27535,0.02597,26.5,7.46,1.52,6.04,-355.61,-57.28,-9.08,-134.02,0.07138,0.24986,-0.12469
OA12,DMF,0.8,15.05,36.7,1,138.11,-0.09955,0.10926,-0.691,-0.711,105.3497,-0.31582,-0.0483,23.8,5.42,1.52,7.6,-333.31,-46.74,-10.0,-134.08,0.004855,0.20881,-0.18206
OA12,DMSO,0.77,14.32,46.7,1,138.11,-0.09955,0.10926,-0.691,-0.711,105.3497,-0.31582,-0.0483,23.8,5.42,1.52,7.6,-333.31,-46.07,-9.08,-134.71,0.004855,0.20881,-0.18206
OA12,AN,0.82,15.14,37.5,1,138.11,-0.09955,0.10926,-0.691,-0.711,105.3497,-0.31582,-0.0483,23.8,5.42,1.52,7.6,-333.31,-47.44,-10.55,-134.02,0.004855,0.20881,-0.18206
OA13,DMSO,0.59,21.02,46.68,1,205.32,-0.06756,0.18236,-0.814,-0.782,177.9637,-0.2698,0.02658,47.0,6.97,2.74,5.95,-343.17,-46.05,-6.26,-134.71,0.0574,0.24992,-0.12161
OA14,AN,0.75,16.9,37.5,1,59.05,-0.09818,0.24018,-0.8,-0.83,35.3567,-0.36255,0.04952,21.9,4.43,1.52,3.72,-356.3,-60.03,-6.02,-134.02,0.071,0.33836,-0.156515
OA15,AN,0.72,16.45,37.5,1,121.12,-0.12854,0.15036,-0.77,-0.728,86.8737,-0.32245,-0.02327,23.3,7.64,1.52,4.96,-347.76,-58.35,-8.46,-134.02,0.01091,0.2789,-0.17286
OA16,acetone,0.68,18.74,20.7,1,166.12,-0.15242,0.05379,-0.756,-0.717,106.1783,-0.35102,-0.07661,23.2,9.24,1.52,4.9,-335.35,-50.04,-10.43,-131.23,-0.049315,0.20621,-0.213815
OA16,AN,0.76,15.3,37.5,1,166.12,-0.15242,0.05379,-0.756,-0.717,106.1783,-0.35102,-0.07661,23.2,9.24,1.52,4.9,-335.35,-50.94,-10.02,-134.02,-0.049315,0.20621,-0.213815
OA17,acetone,0.62,18.8,20.7,1,211.12,-0.16856,0.0363,-0.745,-0.705,121.2173,-0.37963,-0.0894,23.2,8.65,1.52,6.63,-326.75,-46.76,-12.4,-131.23,-0.06613,0.20486,-0.234515
OA17,AN,0.71,14.9,37.5,1,211.12,-0.16856,0.0363,-0.745,-0.705,121.2173,-0.37963,-0.0894,23.2,8.65,1.52,6.63,-326.75,-47.32,-11.95,-134.02,-0.06613,0.20486,-0.234515
OA18,AN,0.64,16.03,37.5,1,75.05,-0.11692,0.23294,-0.775,-0.817,38.2407,-0.38195,0.05815,21.3,5.46,1.52,4.49,-348.35,-57.43,-5.49,-134.02,0.05801,0.34986,-0.1619
SA01,ACN,0.63,22.4,37.5,1,146.25,-0.06295,0.16825,-0.409,-0.598,113.5917,-0.26327,0.00606,31.3,7.15,1.8,5.75,-339.01,-59.47,-10.59,-134.02,0.05265,0.2312,-0.128605
SA02,ACN,0.57,23.84,37.5,1,160.27,-0.06453,0.16698,-0.393,-0.599,125.1513,-0.26369,0.00286,31.8,6.62,1.8,6.48,-337.81,-57.51,-10.4,-134.02,0.051225,0.23151,-0.130415
SA03,ACN,0.64,21.72,37.5,1,162.25,-0.06983,0.16724,-0.385,-0.566,118.3267,-0.27004,-0.00251,31.4,6.8,1.8,6.39,-334.41,-56.24,-10.99,-134.02,0.048705,0.23707,-0.136275
SA04,ACN,0.69,20.93,37.5,1,120.21,-0.06036,0.19033,-0.409,-0.603,92.9667,-0.26643,0.00331,31.6,5.92,1.8,5.4,-338.74,-57.62,-9.01,-134.02,0.064985,0.25069,-0.13156
SA05,ACN,0.69,19.3,37.5,1,121.19,-0.07132,0.17575,-0.334,-0.623,87.9217,-0.29031,-0.01773,28.5,6.23,1.8,5.66,-334.85,-55.49,-5.8,-134.02,0.052215,0.24707,-0.15402
SA06,ACN,0.63,21.2,37.5,1,75.11,-0.06112,0.22819,-0.571,-0.825,52.164,-0.33207,0.01552,27.2,4.59,1.8,4.54,-342.75,-57.18,-5.55,-134.02,0.083535,0.28931,-0.158275
SA07,ACN,0.59,20.11,37.5,1,141.16,-0.0777,0.14909,-1.066,-0.446,96.446,-0.33945,-0.02858,32.5,3.45,2.09,6.49,-330.96,-57.56,-10.5,-134.02,0.035695,0.22679,-0.184015
SA07,DMSO,0.6,19.6,46.68,1,141.16,-0.0777,0.14909,-1.066,-0.446,96.446,-0.33945,-0.02858,32.5,3.45,2.09,6.49,-330.96,-55.93,-9.97,-134.71,0.035695,0.22679,-0.184015
