Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
CA06,DMSO,0.57,27.54,46.7,1,163.2,-0.051,0.17669,-0.543,-1.246,145.9953,-0.30051,0.02112,35.9,4.85,2.35,6.81,-357.6,-51.46,-8.88,-134.71,0.062845,0.22769,-0.139695
CA07,DMSO,0.53,27.62,46.7,1,242.09,-0.06271,0.15791,-0.538,-1.215,172.4063,-0.29368,0.00744,35.8,4.64,2.24,7.71,-351.28,-47.79,-9.87,-134.71,0.0476,0.22062,-0.14312
CA08,DMSO,0.65,23.64,46.7,1,188.21,-0.07799,0.12815,-0.515,-1.176,177.3963,-0.31907,-0.0244,35.8,4.62,2.24,8.05,-341.77,-45.42,-11.41,-134.71,0.02508,0.20614,-0.171735
CA09,DMSO,0.71,20.0,46.7,1,208.19,-0.0873,0.08748,-0.49,-1.092,190.2553,-0.3329,-0.05211,35.8,5.33,2.24,7.69,-337.78,-43.71,-10.93,-134.71,9e-05,0.17478,-0.192505
CA10,DMSO,0.7,23.27,46.7,1,164.18,-0.06836,0.16753,-0.537,-1.35,138.8107,-0.31704,0.00384,35.8,4.55,2.23,6.8,-348.48,-49.91,-10.04,-134.71,0.049585,0.23589,-0.1566
CA11,DMSO,0.5,27.28,46.7,1,184.14,-0.06805,0.15249,-0.574,-1.2,131.3033,-0.33879,-0.01844,32.2,5.24,2.02,7.8,-343.06,-44.9,-8.39,-134.71,0.04222,0.22054,-0.178615
CA12,DMSO,0.54,25.11,46.7,1,141.15,-0.0759,0.13166,-0.555,-1.037,142.623,-0.3348,-0.03914,32.2,4.52,2.02,8.11,-337.24,-45.39,-11.52,-134.71,0.02788,0.20756,-0.18697
CA13,DMSO,0.56,23.35,46.7,1,155.18,-0.07225,0.13059,-0.351,-0.466,157.033,-0.33316,-0.03818,39.8,5.06,2.93,8.12,-338.55,-44.78,-11.02,-134.71,0.02917,0.20284,-0.18567
CA14,DMSO,0.71,20.1,46.7,1,161.14,-0.08778,0.08829,-0.521,-1.058,153.8237,-0.34967,-0.06467,32.2,5.19,2.02,7.72,-332.5,-43.01,-11.04,-134.71,0.000255,0.17607,-0.20717
CA15,DMSO,0.6,19.61,46.7,1,175.17,-0.08367,0.08833,-0.319,-0.329,169.0777,-0.34787,-0.06383,39.8,5.04,2.93,7.79,-333.81,-42.71,-10.54,-134.71,0.00233,0.172,-0.20585
CA16,DMSO,0.58,28.95,46.7,1,130.17,-0.04142,0.17262,-0.397,-0.542,127.951,-0.31578,0.00646,39.8,5.09,2.94,6.1,-356.31,-51.32,-7.9,-134.71,0.0656,0.21404,-0.15466
CA17,DMSO,0.76,18.31,46.7,1,150.16,-0.06887,0.14907,-0.25,-0.818,132.3577,-0.3106,-0.00222,35.4,5.61,2.04,7.29,-347.86,-51.28,-8.42,-134.71,0.0401,0.21794,-0.156409
CA17,H2O,0.5,13.09,80.1,1,150.16,-0.06887,0.14907,-0.25,-0.818,132.3577,-0.3106,-0.00222,35.4,5.61,2.04,7.29,-347.86,-57.35,-4.66,-135.03,0.0401,0.21794,-0.156409
CA19,DMSO,0.73,16.96,46.7,1,161.14,-0.09716,0.10277,-0.249,-0.862,146.5177,-0.33592,-0.04103,35.4,4.49,2.19,8.15,-326.52,-44.18,-11.4,-134.71,0.002805,0.19993,-0.188475
CA19,H2O,0.52,13.23,80.1,1,161.14,-0.09716,0.10277,-0.249,-0.862,146.5177,-0.33592,-0.04103,35.4,4.49,2.19,8.15,-326.52,-47.32,-7.85,-135.03,0.002805,0.19993,-0.188475
CA20,DMSO,0.75,16.29,46.7,1,181.13,-0.10532,0.06823,-0.239,-0.797,157.2087,-0.35101,-0.06595,35.4,5.08,2.19,7.73,-323.35,-42.07,-10.94,-134.71,-0.018545,0.17355,-0.20848
